Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,StudyEfficiency
7,99,1,9,1,91.0,0.7
4,82,0,4,2,65.0,0.8
8,51,1,7,2,45.0,1.0
5,52,1,5,2,36.0,0.8333333333333334
7,75,0,8,5,66.0,0.7777777777777778
3,78,0,9,6,61.0,0.3
7,73,1,5,6,63.0,1.1666666666666667
8,45,1,4,6,42.0,1.6
5,77,0,8,2,61.0,0.5555555555555556
4,89,0,4,0,69.0,0.8
8,91,0,4,5,84.0,1.6
8,79,0,6,2,73.0,1.1428571428571428
3,47,0,9,2,27.0,0.3
6,47,0,4,2,33.0,1.2
5,79,0,7,8,68.0,0.625
2,72,0,4,3,43.0,0.4
8,73,1,8,4,67.0,0.8888888888888888
6,83,1,7,2,70.0,0.75
2,54,1,4,9,30.0,0.4
5,75,0,7,0,63.0,0.625
1,99,1,4,3,71.0,0.2
6,96,0,9,0,85.0,0.6
9,74,1,7,6,73.0,1.125
1,85,0,5,6,57.0,0.16666666666666666
3,61,0,6,3,35.0,0.42857142857142855
7,62,1,7,4,49.0,0.875
4,79,0,8,9,66.0,0.4444444444444444
9,84,1,6,6,83.0,1.2857142857142858
3,94,1,6,5,74.0,0.42857142857142855
5,90,1,4,3,74.0,1.0
3,61,1,7,3,39.0,0.375
7,44,1,9,1,36.0,0.7
5,70,1,6,9,58.0,0.7142857142857143
9,52,1,8,1,47.0,1.0
7,67,1,9,3,60.0,0.7
2,97,1,9,4,74.0,0.2
4,59,0,8,3,42.0,0.4444444444444444
9,72,0,8,2,68.0,1.0
2,55,1,4,1,32.0,0.4
9,68,0,5,3,64.0,1.5
5,62,0,7,4,45.0,0.625
2,63,1,6,0,39.0,0.2857142857142857
4,73,1,7,0,58.0,0.5
7,46,0,9,5,36.0,0.7
8,77,1,6,4,71.0,1.1428571428571428
3,76,1,4,3,54.0,0.6
1,43,1,7,0,17.0,0.125
4,73,0,4,6,54.0,0.8
2,81,1,4,3,58.0,0.4
8,61,0,7,2,53.0,1.0
4,44,1,7,6,27.0,0.5
2,89,1,6,1,65.0,0.2857142857142857
6,81,0,9,9,75.0,0.6
6,62,1,9,0,52.0,0.6
4,93,0,8,3,78.0,0.4444444444444444
6,99,0,4,7,91.0,1.2
2,54,1,9,5,33.0,0.2
2,70,1,5,8,47.0,0.3333333333333333
4,98,0,6,0,78.0,0.5714285714285714
8,48,0,6,0,38.0,1.1428571428571428
7,82,1,8,4,70.0,0.7777777777777778
9,97,1,8,5,98.0,1.0
8,92,1,4,7,87.0,1.6
5,64,1,6,2,49.0,0.7142857142857143
2,64,1,6,5,41.0,0.2857142857142857
5,88,0,5,2,71.0,0.8333333333333334
8,60,0,4,7,54.0,1.6
9,48,0,4,3,42.0,1.8
9,94,0,9,1,91.0,0.9
1,87,1,8,8,61.0,0.1111111111111111
9,77,0,9,9,74.0,0.9
7,61,1,4,7,54.0,1.4
9,82,1,5,5,81.0,1.5
8,62,1,4,2,52.0,1.6
1,88,1,9,1,65.0,0.1
8,43,1,7,3,36.0,1.0
8,68,0,7,3,61.0,1.0
3,54,1,5,0,35.0,0.5
1,40,1,8,8,15.0,0.1111111111111111
8,93,1,6,9,88.0,1.1428571428571428
3,69,0,4,7,45.0,0.6
3,68,1,9,6,49.0,0.3
1,59,1,8,5,33.0,0.1111111111111111
5,72,1,9,2,60.0,0.5
7,80,0,8,3,71.0,0.7777777777777778
9,83,1,4,1,81.0,1.8
7,75,0,6,6,67.0,1.0
9,99,0,4,1,95.0,1.8
8,61,1,6,9,58.0,1.1428571428571428
2,52,0,9,0,29.0,0.2
1,46,0,5,5,21.0,0.16666666666666666
7,47,1,6,3,38.0,1.0
7,67,1,8,7,60.0,0.7777777777777778
8,84,1,5,0,76.0,1.3333333333333333
5,82,1,9,8,69.0,0.5
3,48,0,7,5,30.0,0.375
8,64,0,5,1,57.0,1.3333333333333333
6,95,1,6,7,81.0,0.8571428571428571
3,55,1,5,4,36.0,0.5
1,49,1,9,4,25.0,0.1
3,50,0,5,4,27.0,0.5
5,70,1,9,6,61.0,0.5
3,51,0,7,6,34.0,0.375
1,99,0,6,9,76.0,0.14285714285714285
5,70,0,8,6,57.0,0.5555555555555556
7,53,0,5,9,45.0,1.1666666666666667
7,90,1,4,1,76.0,1.4
9,83,1,8,7,83.0,1.0
3,71,1,5,0,50.0,0.5
7,89,0,8,1,81.0,0.7777777777777778
1,92,0,4,6,66.0,0.2
4,56,1,8,3,38.0,0.4444444444444444
4,74,0,8,9,56.0,0.4444444444444444
5,40,0,4,9,25.0,1.0
7,68,0,4,8,56.0,1.4
7,90,1,4,8,82.0,1.4
4,43,1,7,2,23.0,0.5
7,62,1,9,2,56.0,0.7
3,67,0,9,8,46.0,0.3
6,55,1,4,9,43.0,1.2
2,51,1,9,7,30.0,0.2
9,92,1,8,0,92.0,1.0
5,60,0,4,5,45.0,1.0
6,84,0,5,6,70.0,1.0
4,56,0,4,7,36.0,0.8
7,79,0,4,1,71.0,1.4
9,52,0,9,0,49.0,0.9
7,91,1,6,3,82.0,1.0
1,97,1,8,0,71.0,0.1111111111111111
1,71,0,9,1,43.0,0.1
9,76,0,8,2,77.0,1.0
9,89,1,5,3,86.0,1.5
4,54,0,7,5,34.0,0.5
9,51,0,6,7,49.0,1.2857142857142858
3,88,0,5,8,69.0,0.5
7,96,0,5,3,84.0,1.1666666666666667
6,54,0,8,0,41.0,0.6666666666666666
8,73,1,6,4,68.0,1.1428571428571428
9,45,1,8,4,44.0,1.0
5,56,0,7,8,41.0,0.625
1,87,0,8,5,58.0,0.1111111111111111
3,88,1,4,4,68.0,0.6
8,96,0,8,9,94.0,0.8888888888888888
6,59,1,4,9,47.0,1.2
8,48,0,5,4,40.0,1.3333333333333333
9,98,1,7,7,100.0,1.125
4,44,1,9,0,23.0,0.4
1,62,0,4,4,36.0,0.2
1,72,0,7,0,47.0,0.125
4,77,1,8,6,60.0,0.4444444444444444
7,95,0,9,6,83.0,0.7
2,53,1,8,9,33.0,0.2222222222222222
3,56,0,5,7,36.0,0.5
1,96,0,8,6,74.0,0.1111111111111111
5,58,0,4,8,42.0,1.0
1,72,1,5,7,47.0,0.16666666666666666
8,40,1,7,7,31.0,1.0
1,52,0,5,2,26.0,0.16666666666666666
1,85,1,7,9,58.0,0.125
2,66,0,6,3,42.0,0.2857142857142857
2,45,1,4,3,18.0,0.4
6,98,0,4,0,85.0,1.2
7,45,1,7,5,36.0,0.875
5,72,1,8,1,58.0,0.5555555555555556
1,69,1,9,8,45.0,0.1
1,85,1,8,0,60.0,0.1111111111111111
3,74,1,6,0,56.0,0.42857142857142855
2,62,1,7,9,42.0,0.25
5,49,0,6,5,33.0,0.7142857142857143
6,90,0,7,0,77.0,0.75
7,58,1,6,2,51.0,1.0
4,90,0,7,9,72.0,0.5
7,67,1,4,1,57.0,1.4
8,62,0,6,8,53.0,1.1428571428571428
1,43,0,6,4,16.0,0.14285714285714285
6,59,0,7,5,45.0,0.75
8,58,0,5,1,49.0,1.3333333333333333
5,81,1,5,7,67.0,0.8333333333333334
4,66,0,4,5,49.0,0.8
2,96,0,8,7,73.0,0.2222222222222222
6,73,0,8,7,65.0,0.6666666666666666
6,43,1,4,0,27.0,1.2
1,95,0,8,6,72.0,0.1111111111111111
9,77,1,9,1,74.0,0.9
6,46,1,9,7,38.0,0.6
3,87,0,9,1,67.0,0.3
4,46,1,9,3,28.0,0.4
4,89,0,7,1,73.0,0.5
3,91,0,5,6,72.0,0.5
3,65,0,4,4,42.0,0.6
3,65,0,7,8,47.0,0.375
4,93,0,9,4,77.0,0.4
7,58,0,4,7,49.0,1.4
4,48,0,5,1,30.0,0.6666666666666666
9,59,1,8,2,54.0,1.0
1,81,1,7,5,56.0,0.125
8,84,0,5,6,75.0,1.3333333333333333
7,89,0,4,9,78.0,1.4
2,55,1,6,7,32.0,0.2857142857142857
8,93,0,7,2,89.0,1.0
1,56,1,4,6,29.0,0.2
9,61,1,4,7,57.0,1.8
9,52,0,5,9,48.0,1.5
2,51,0,4,5,27.0,0.4
7,49,1,7,3,38.0,0.875
3,40,1,9,5,18.0,0.3
7,71,0,7,8,66.0,0.875
9,69,0,4,2,65.0,1.8
4,47,1,5,1,27.0,0.6666666666666666
1,60,1,7,4,33.0,0.125
2,61,1,6,6,37.0,0.2857142857142857
1,57,0,9,2,29.0,0.1
5,41,0,8,4,26.0,0.5555555555555556
5,87,0,5,3,72.0,0.8333333333333334
7,83,1,5,6,77.0,1.1666666666666667
9,48,1,8,1,45.0,1.0
9,42,0,8,6,41.0,1.0
3,93,1,7,1,73.0,0.375
3,65,1,4,2,43.0,0.6
3,60,1,4,4,39.0,0.6
4,69,1,6,6,54.0,0.5714285714285714
8,67,1,9,5,62.0,0.8
6,75,0,4,6,63.0,1.2
8,65,0,6,5,59.0,1.1428571428571428
1,73,0,6,0,46.0,0.14285714285714285
8,47,0,5,4,42.0,1.3333333333333333
4,49,0,5,0,30.0,0.6666666666666666
1,87,1,9,6,63.0,0.1
8,94,1,7,3,89.0,1.0
4,82,1,8,4,62.0,0.4444444444444444
6,89,0,8,0,77.0,0.6666666666666666
8,93,1,9,7,88.0,0.8
4,53,1,6,3,35.0,0.5714285714285714
3,79,1,9,2,60.0,0.3
9,94,0,8,0,92.0,1.0
3,54,1,6,3,38.0,0.42857142857142855
9,56,1,8,2,56.0,1.0
2,92,0,7,7,70.0,0.25
2,57,0,5,8,35.0,0.3333333333333333
2,71,1,5,4,47.0,0.3333333333333333
6,77,0,6,8,66.0,0.8571428571428571
3,62,1,9,0,43.0,0.3
9,85,0,8,6,81.0,1.0
4,62,1,4,6,43.0,0.8
1,74,1,7,5,46.0,0.125
4,78,0,8,3,61.0,0.4444444444444444
1,54,0,4,8,27.0,0.2
5,92,0,7,2,77.0,0.625
4,63,0,7,0,43.0,0.5
8,67,1,5,1,60.0,1.3333333333333333
8,55,0,6,2,48.0,1.1428571428571428
7,55,1,8,1,47.0,0.7777777777777778
3,79,1,7,5,60.0,0.375
1,78,1,8,6,53.0,0.1111111111111111
1,45,0,7,4,19.0,0.125
3,41,1,9,4,23.0,0.3
6,93,1,5,6,81.0,1.0
7,52,0,6,5,41.0,1.0
6,83,1,4,7,71.0,1.2
6,86,1,4,8,75.0,1.2
6,98,1,9,1,89.0,0.6
3,48,0,5,1,28.0,0.5
6,73,1,7,0,60.0,0.75
8,56,1,5,6,54.0,1.3333333333333333
2,66,1,6,3,41.0,0.2857142857142857
5,68,0,4,8,52.0,1.0
1,76,0,8,5,53.0,0.1111111111111111
1,82,0,4,6,52.0,0.2
5,61,1,6,6,47.0,0.7142857142857143
3,90,1,7,7,71.0,0.375
4,63,1,5,3,42.0,0.6666666666666666
3,46,1,4,2,21.0,0.6
1,73,1,4,2,48.0,0.2
1,87,0,8,9,64.0,0.1111111111111111
5,51,1,5,7,38.0,0.8333333333333334
6,62,1,8,2,49.0,0.6666666666666666
3,54,0,8,7,35.0,0.3333333333333333
9,72,0,7,1,73.0,1.125
5,96,1,4,4,81.0,1.0
8,52,0,9,4,47.0,0.8
1,62,0,5,6,36.0,0.16666666666666666
5,77,0,7,4,63.0,0.625
3,71,1,9,8,52.0,0.3
1,84,0,7,2,58.0,0.125
4,89,1,7,8,77.0,0.5
5,74,0,6,0,58.0,0.7142857142857143
7,40,1,6,2,33.0,1.0
1,86,1,7,3,67.0,0.125
